sku_id,name,pair_sku_id,side,arm_type,is_boxed,length_cm,width_cm,height_cm,weight_kg,unit_volume_l,effective_volume_l,rotation,effective_rotation,sales_median_6m,target_stock_qty,batch_weight_kg,batch_volume_l
SKU-1015-LH,Важіль curved LH (R1),SKU-1015-RH,LH,curved,False,40.3,13.8,5.7,2.01,3.17,1.33,R1,R1,38.6,58,116.6,77.1
SKU-1015-RH,Важіль curved RH (R1),SKU-1015-LH,RH,curved,False,40.3,13.8,5.7,2.01,3.17,1.33,R1,R1,38.8,59,118.6,78.5
SKU-1016-LH,Важіль straight_link LH (R1),SKU-1016-RH,LH,straight_link,True,25.2,5.5,4.8,0.52,0.67,0.7,R1,R1,37.4,57,29.6,39.9
SKU-1016-RH,Важіль straight_link RH (R1),SKU-1016-LH,RH,straight_link,True,25.2,5.5,4.8,0.52,0.67,0.7,R1,R1,35.6,54,28.1,37.8
SKU-1017-LH,Важіль curved LH (R1),SKU-1017-RH,LH,curved,False,37.2,14.4,10.8,3.33,5.79,2.43,R1,R1,34.5,52,173.2,126.4
SKU-1017-RH,Важіль curved RH (R1),SKU-1017-LH,RH,curved,False,37.2,14.4,10.8,3.33,5.79,2.43,R1,R1,34.0,51,169.8,123.9
SKU-1018-LH,Важіль a_shaped LH (R1),SKU-1018-RH,LH,a_shaped,False,36.6,35.8,11.0,3.76,14.41,7.49,R1,R1,36.2,55,206.8,411.9
SKU-1018-RH,Важіль a_shaped RH (R1),SKU-1018-LH,RH,a_shaped,False,36.6,35.8,11.0,3.76,14.41,7.49,R1,R1,34.3,52,195.5,389.5
SKU-1019-LH,Важіль straight_link LH (R1),SKU-1019-RH,LH,straight_link,False,24.9,7.4,4.8,1.07,0.88,0.25,R1,R1,42.8,65,69.5,16.2
SKU-1019-RH,Важіль straight_link RH (R1),SKU-1019-LH,RH,straight_link,False,24.9,7.4,4.8,1.07,0.88,0.25,R1,R1,44.5,67,71.7,16.8
SKU-1020-LH,Важіль a_shaped LH (R1),SKU-1020-RH,LH,a_shaped,False,46.1,36.1,11.3,3.89,18.81,9.78,R1,R1,44.4,67,260.6,655.3
SKU-1020-RH,Важіль a_shaped RH (R1),SKU-1020-LH,RH,a_shaped,False,46.1,36.1,11.3,3.89,18.81,9.78,R1,R1,43.9,66,256.7,645.5
SKU-1021-LH,Важіль curved LH (R1),SKU-1021-RH,LH,curved,True,35.5,18.1,5.1,2.52,3.28,3.44,R1,R1,34.5,52,131.0,178.9
SKU-1021-RH,Важіль curved RH (R1),SKU-1021-LH,RH,curved,True,35.5,18.1,5.1,2.52,3.28,3.44,R1,R1,33.2,50,126.0,172.0
SKU-1022-LH,Важіль trailing LH (R1),SKU-1022-RH,LH,trailing,False,62.1,10.7,5.6,2.82,3.72,1.41,R1,R1,33.1,50,141.0,70.5
SKU-1022-RH,Важіль trailing RH (R1),SKU-1022-LH,RH,trailing,False,62.1,10.7,5.6,2.82,3.72,1.41,R1,R1,33.0,50,141.0,70.5
SKU-1023-LH,Важіль straight_link LH (R1),SKU-1023-RH,LH,straight_link,False,27.2,6.9,5.9,0.93,1.11,0.31,R1,R1,33.2,50,46.5,15.5
SKU-1023-RH,Важіль straight_link RH (R1),SKU-1023-LH,RH,straight_link,False,27.2,6.9,5.9,0.93,1.11,0.31,R1,R1,35.4,54,50.2,16.7
SKU-1024-LH,Важіль heavy_integral LH (R1),SKU-1024-RH,LH,heavy_integral,False,70.3,19.4,12.8,9.32,17.46,11.87,R1,R1,47.6,72,671.0,854.6
SKU-1024-RH,Важіль heavy_integral RH (R1),SKU-1024-LH,RH,heavy_integral,False,70.3,19.4,12.8,9.32,17.46,11.87,R1,R1,47.2,71,661.7,842.8
SKU-1025-LH,Важіль trailing LH (R1),SKU-1025-RH,LH,trailing,False,54.2,6.8,8.6,3.37,3.17,1.2,R1,R1,29.2,44,148.3,52.8
SKU-1025-RH,Важіль trailing RH (R1),SKU-1025-LH,RH,trailing,False,54.2,6.8,8.6,3.37,3.17,1.2,R1,R1,30.6,46,155.0,55.2
SKU-1026-LH,Важіль straight_link LH (R1),SKU-1026-RH,LH,straight_link,True,20.3,5.9,6.4,1.05,0.77,0.81,R1,R1,34.6,52,54.6,42.1
SKU-1026-RH,Важіль straight_link RH (R1),SKU-1026-LH,RH,straight_link,True,20.3,5.9,6.4,1.05,0.77,0.81,R1,R1,33.3,50,52.5,40.5
SKU-1027-LH,Важіль straight_link LH (R1),SKU-1027-RH,LH,straight_link,False,28.5,6.3,7.0,1.06,1.26,0.35,R1,R1,38.9,59,62.5,20.6
SKU-1027-RH,Важіль straight_link RH (R1),SKU-1027-LH,RH,straight_link,False,28.5,6.3,7.0,1.06,1.26,0.35,R1,R1,39.8,60,63.6,21.0
SKU-1028-LH,Важіль a_shaped LH (R1),SKU-1028-RH,LH,a_shaped,False,39.9,41.6,10.1,6.45,16.76,8.72,R1,R1,42.3,64,412.8,558.1
SKU-1028-RH,Важіль a_shaped RH (R1),SKU-1028-LH,RH,a_shaped,False,39.9,41.6,10.1,6.45,16.76,8.72,R1,R1,41.4,63,406.4,549.4
SKU-1029-LH,Важіль curved LH (R1),SKU-1029-RH,LH,curved,False,33.9,12.3,9.3,2.11,3.88,1.63,R1,R1,30.8,47,99.2,76.6
SKU-1029-RH,Важіль curved RH (R1),SKU-1029-LH,RH,curved,False,33.9,12.3,9.3,2.11,3.88,1.63,R1,R1,29.7,45,94.9,73.3
SKU-1030-LH,Важіль a_shaped LH (R1),SKU-1030-RH,LH,a_shaped,False,51.3,40.6,10.0,3.65,20.83,10.83,R1,R1,46.4,70,255.5,758.1
SKU-1030-RH,Важіль a_shaped RH (R1),SKU-1030-LH,RH,a_shaped,False,51.3,40.6,10.0,3.65,20.83,10.83,R1,R1,48.5,73,266.4,790.6
SKU-1031-LH,Важіль a_shaped LH (R1),SKU-1031-RH,LH,a_shaped,False,49.6,30.7,10.1,6.32,15.38,8.0,R1,R1,34.8,53,335.0,424.0
SKU-1031-RH,Важіль a_shaped RH (R1),SKU-1031-LH,RH,a_shaped,False,49.6,30.7,10.1,6.32,15.38,8.0,R1,R1,35.9,54,341.3,432.0
SKU-1032-LH,Важіль curved LH (R1),SKU-1032-RH,LH,curved,False,37.1,16.8,5.6,2.71,3.49,1.47,R1,R1,46.4,70,189.7,102.9
SKU-1032-RH,Важіль curved RH (R1),SKU-1032-LH,RH,curved,False,37.1,16.8,5.6,2.71,3.49,1.47,R1,R1,47.9,72,195.1,105.8
SKU-1033-LH,Важіль heavy_integral LH (R1),SKU-1033-RH,LH,heavy_integral,False,73.7,23.0,15.6,7.75,26.44,17.98,R1,R1,36.2,55,426.2,988.9
SKU-1033-RH,Важіль heavy_integral RH (R1),SKU-1033-LH,RH,heavy_integral,False,73.7,23.0,15.6,7.75,26.44,17.98,R1,R1,36.2,55,426.2,988.9
SKU-1034-LH,Важіль trailing LH (R1),SKU-1034-RH,LH,trailing,False,75.7,8.6,7.0,3.78,4.56,1.73,R1,R1,42.4,64,241.9,110.7
SKU-1034-RH,Важіль trailing RH (R1),SKU-1034-LH,RH,trailing,False,75.7,8.6,7.0,3.78,4.56,1.73,R1,R1,42.7,65,245.7,112.5
SKU-1035-LH,Важіль curved LH (R1),SKU-1035-RH,LH,curved,False,31.4,14.5,5.6,2.64,2.55,1.07,R1,R1,30.6,46,121.4,49.2
SKU-1035-RH,Важіль curved RH (R1),SKU-1035-LH,RH,curved,False,31.4,14.5,5.6,2.64,2.55,1.07,R1,R1,30.8,47,124.1,50.3
SKU-1036-LH,Важіль a_shaped LH (R1),SKU-1036-RH,LH,a_shaped,False,45.5,26.5,7.3,6.23,8.8,4.58,R1,R1,35.4,54,336.4,247.3
SKU-1036-RH,Важіль a_shaped RH (R1),SKU-1036-LH,RH,a_shaped,False,45.5,26.5,7.3,6.23,8.8,4.58,R1,R1,36.5,55,342.7,251.9
SKU-1037-LH,Важіль curved LH (R1),SKU-1037-RH,LH,curved,False,29.5,17.5,5.5,1.69,2.84,1.19,R1,R1,39.7,60,101.4,71.4
SKU-1037-RH,Важіль curved RH (R1),SKU-1037-LH,RH,curved,False,29.5,17.5,5.5,1.69,2.84,1.19,R1,R1,40.0,60,101.4,71.4
SKU-1038-LH,Важіль a_shaped LH (R1),SKU-1038-RH,LH,a_shaped,False,51.6,34.3,9.6,6.14,16.99,8.83,R1,R1,34.7,53,325.4,468.0
SKU-1038-RH,Важіль a_shaped RH (R1),SKU-1038-LH,RH,a_shaped,False,51.6,34.3,9.6,6.14,16.99,8.83,R1,R1,33.7,51,313.1,450.3
SKU-1039-LH,Важіль curved LH (R1),SKU-1039-RH,LH,curved,True,41.4,20.0,9.2,2.34,7.62,8.0,R1,R1,32.2,49,114.7,392.0
SKU-1039-RH,Важіль curved RH (R1),SKU-1039-LH,RH,curved,True,41.4,20.0,9.2,2.34,7.62,8.0,R1,R1,32.5,49,114.7,392.0
SKU-1040-LH,Важіль a_shaped LH (R1),SKU-1040-RH,LH,a_shaped,False,47.4,36.6,9.2,6.66,15.96,8.3,R1,R1,43.5,66,439.6,547.8
SKU-1040-RH,Важіль a_shaped RH (R1),SKU-1040-LH,RH,a_shaped,False,47.4,36.6,9.2,6.66,15.96,8.3,R1,R1,43.7,66,439.6,547.8
SKU-1041-LH,Важіль straight_link LH (R1),SKU-1041-RH,LH,straight_link,False,21.5,5.2,6.7,0.41,0.75,0.21,R1,R1,30.9,47,19.3,9.9
SKU-1041-RH,Важіль straight_link RH (R1),SKU-1041-LH,RH,straight_link,False,21.5,5.2,6.7,0.41,0.75,0.21,R1,R1,30.9,47,19.3,9.9
SKU-1042-LH,Важіль straight_link LH (R1),SKU-1042-RH,LH,straight_link,False,27.9,5.7,4.3,0.89,0.68,0.19,R1,R1,37.5,57,50.7,10.8
SKU-1042-RH,Важіль straight_link RH (R1),SKU-1042-LH,RH,straight_link,False,27.9,5.7,4.3,0.89,0.68,0.19,R1,R1,38.3,58,51.6,11.0
SKU-1043-LH,Важіль trailing LH (R1),SKU-1043-RH,LH,trailing,False,68.0,9.2,5.2,2.89,3.25,1.24,R1,R1,41.3,62,179.2,76.9
SKU-1043-RH,Важіль trailing RH (R1),SKU-1043-LH,RH,trailing,False,68.0,9.2,5.2,2.89,3.25,1.24,R1,R1,42.4,64,185.0,79.4
SKU-1044-LH,Важіль straight_link LH (R1),SKU-1044-RH,LH,straight_link,False,20.3,4.2,6.2,0.43,0.53,0.15,R1,R1,42.0,63,27.1,9.4
SKU-1044-RH,Важіль straight_link RH (R1),SKU-1044-LH,RH,straight_link,False,20.3,4.2,6.2,0.43,0.53,0.15,R1,R1,40.8,62,26.7,9.3
SKU-1045-LH,Важіль straight_link LH (R1),SKU-1045-RH,LH,straight_link,False,27.0,5.6,5.9,1.34,0.89,0.25,R1,R1,38.3,58,77.7,14.5
SKU-1045-RH,Важіль straight_link RH (R1),SKU-1045-LH,RH,straight_link,False,27.0,5.6,5.9,1.34,0.89,0.25,R1,R1,38.1,58,77.7,14.5
SKU-1046-LH,Важіль straight_link LH (R1),SKU-1046-RH,LH,straight_link,False,19.0,4.4,4.1,0.49,0.34,0.1,R1,R1,40.8,62,30.4,6.2
SKU-1046-RH,Важіль straight_link RH (R1),SKU-1046-LH,RH,straight_link,False,19.0,4.4,4.1,0.49,0.34,0.1,R1,R1,41.7,63,30.9,6.3
SKU-1047-LH,Важіль trailing LH (R1),SKU-1047-RH,LH,trailing,False,52.6,10.1,6.1,2.35,3.24,1.23,R1,R1,43.0,65,152.8,80.0
SKU-1047-RH,Важіль trailing RH (R1),SKU-1047-LH,RH,trailing,False,52.6,10.1,6.1,2.35,3.24,1.23,R1,R1,43.8,66,155.1,81.2
SKU-1048-LH,Важіль curved LH (R1),SKU-1048-RH,LH,curved,False,38.9,13.4,6.1,2.95,3.18,1.34,R1,R1,46.3,70,206.5,93.8
SKU-1048-RH,Важіль curved RH (R1),SKU-1048-LH,RH,curved,False,38.9,13.4,6.1,2.95,3.18,1.34,R1,R1,44.2,67,197.7,89.8
SKU-1049-LH,Важіль trailing LH (R1),SKU-1049-RH,LH,trailing,False,72.2,7.7,8.7,3.9,4.84,1.84,R1,R1,38.5,58,226.2,106.7
SKU-1049-RH,Важіль trailing RH (R1),SKU-1049-LH,RH,trailing,False,72.2,7.7,8.7,3.9,4.84,1.84,R1,R1,38.5,58,226.2,106.7
SKU-1050-LH,Важіль trailing LH (R1),SKU-1050-RH,LH,trailing,False,75.5,8.5,8.3,2.77,5.33,2.03,R1,R1,45.7,69,191.1,140.1
SKU-1050-RH,Важіль trailing RH (R1),SKU-1050-LH,RH,trailing,False,75.5,8.5,8.3,2.77,5.33,2.03,R1,R1,44.3,67,185.6,136.0
SKU-1051-LH,Важіль straight_link LH (R1),SKU-1051-RH,LH,straight_link,False,19.3,5.1,7.3,1.35,0.72,0.2,R1,R1,40.7,62,83.7,12.4
SKU-1051-RH,Важіль straight_link RH (R1),SKU-1051-LH,RH,straight_link,False,19.3,5.1,7.3,1.35,0.72,0.2,R1,R1,40.2,61,82.4,12.2
SKU-1052-LH,Важіль trailing LH (R1),SKU-1052-RH,LH,trailing,False,60.5,9.4,8.0,3.76,4.55,1.73,R1,R1,42.8,65,244.4,112.5
SKU-1052-RH,Важіль trailing RH (R1),SKU-1052-LH,RH,trailing,False,60.5,9.4,8.0,3.76,4.55,1.73,R1,R1,44.2,67,251.9,115.9
SKU-1053-LH,Важіль heavy_integral LH (R1),SKU-1053-RH,LH,heavy_integral,True,67.6,20.4,17.1,7.71,23.58,24.76,R1,R1,31.2,47,362.4,1163.7
SKU-1053-RH,Важіль heavy_integral RH (R1),SKU-1053-LH,RH,heavy_integral,True,67.6,20.4,17.1,7.71,23.58,24.76,R1,R1,32.8,50,385.5,1238.0
SKU-1054-LH,Важіль curved LH (R1),SKU-1054-RH,LH,curved,False,27.6,11.0,9.2,1.73,2.79,1.17,R1,R1,45.5,69,119.4,80.7
SKU-1054-RH,Важіль curved RH (R1),SKU-1054-LH,RH,curved,False,27.6,11.0,9.2,1.73,2.79,1.17,R1,R1,43.3,65,112.5,76.0
SKU-1055-LH,Важіль curved LH (R1),SKU-1055-RH,LH,curved,False,41.8,14.5,7.2,3.06,4.36,1.83,R1,R1,48.9,74,226.4,135.4
SKU-1055-RH,Важіль curved RH (R1),SKU-1055-LH,RH,curved,False,41.8,14.5,7.2,3.06,4.36,1.83,R1,R1,48.0,72,220.3,131.8
SKU-1056-LH,Важіль straight_link LH (R1),SKU-1056-RH,LH,straight_link,False,19.2,6.7,6.0,0.82,0.77,0.22,R1,R1,44.9,68,55.8,15.0
SKU-1056-RH,Важіль straight_link RH (R1),SKU-1056-LH,RH,straight_link,False,19.2,6.7,6.0,0.82,0.77,0.22,R1,R1,46.3,70,57.4,15.4
SKU-1057-LH,Важіль a_shaped LH (R1),SKU-1057-RH,LH,a_shaped,True,43.5,26.9,8.0,3.98,9.36,9.83,R1,R1,42.5,64,254.7,629.1
SKU-1057-RH,Важіль a_shaped RH (R1),SKU-1057-LH,RH,a_shaped,True,43.5,26.9,8.0,3.98,9.36,9.83,R1,R1,42.0,63,250.7,619.3
SKU-1058-LH,Важіль straight_link LH (R1),SKU-1058-RH,LH,straight_link,False,23.2,5.0,7.0,0.62,0.81,0.23,R1,R1,45.5,69,42.8,15.9
SKU-1058-RH,Важіль straight_link RH (R1),SKU-1058-LH,RH,straight_link,False,23.2,5.0,7.0,0.62,0.81,0.23,R1,R1,49.1,74,45.9,17.0
SKU-1059-LH,Важіль trailing LH (R1),SKU-1059-RH,LH,trailing,True,75.2,8.6,9.0,2.25,5.82,6.11,R1,R1,41.5,63,141.8,384.9
SKU-1059-RH,Важіль trailing RH (R1),SKU-1059-LH,RH,trailing,True,75.2,8.6,9.0,2.25,5.82,6.11,R1,R1,40.0,60,135.0,366.6
SKU-1060-LH,Важіль heavy_integral LH (R1),SKU-1060-RH,LH,heavy_integral,False,72.3,20.5,15.0,8.71,22.23,15.12,R1,R1,44.5,67,583.6,1013.0
SKU-1060-RH,Важіль heavy_integral RH (R1),SKU-1060-LH,RH,heavy_integral,False,72.3,20.5,15.0,8.71,22.23,15.12,R1,R1,45.4,69,601.0,1043.3
SKU-1061-LH,Важіль curved LH (R1),SKU-1061-RH,LH,curved,False,40.2,15.5,8.7,2.1,5.42,2.28,R1,R1,33.3,50,105.0,114.0
SKU-1061-RH,Важіль curved RH (R1),SKU-1061-LH,RH,curved,False,40.2,15.5,8.7,2.1,5.42,2.28,R1,R1,33.0,50,105.0,114.0
SKU-1062-LH,Важіль curved LH (R1),SKU-1062-RH,LH,curved,False,27.2,21.7,10.9,2.86,6.43,2.7,R1,R1,39.0,59,168.7,159.3
SKU-1062-RH,Важіль curved RH (R1),SKU-1062-LH,RH,curved,False,27.2,21.7,10.9,2.86,6.43,2.7,R1,R1,40.6,61,174.5,164.7
SKU-1063-LH,Важіль curved LH (R1),SKU-1063-RH,LH,curved,False,28.6,20.9,9.9,3.31,5.92,2.49,R1,R1,43.5,66,218.5,164.3
SKU-1063-RH,Важіль curved RH (R1),SKU-1063-LH,RH,curved,False,28.6,20.9,9.9,3.31,5.92,2.49,R1,R1,42.8,65,215.2,161.9
SKU-1064-LH,Важіль a_shaped LH (R1),SKU-1064-RH,LH,a_shaped,False,49.9,26.7,7.2,4.8,9.59,4.99,R1,R1,46.3,70,336.0,349.3
SKU-1064-RH,Важіль a_shaped RH (R1),SKU-1064-LH,RH,a_shaped,False,49.9,26.7,7.2,4.8,9.59,4.99,R1,R1,43.3,65,312.0,324.4
SKU-1065-LH,Важіль a_shaped LH (R1),SKU-1065-RH,LH,a_shaped,False,42.1,41.5,13.7,6.28,23.94,12.45,R1,R1,38.2,58,364.2,722.1
SKU-1065-RH,Важіль a_shaped RH (R1),SKU-1065-LH,RH,a_shaped,False,42.1,41.5,13.7,6.28,23.94,12.45,R1,R1,37.7,57,358.0,709.6
SKU-1066-LH,Важіль straight_link LH (R1),SKU-1066-RH,LH,straight_link,True,30.1,6.8,7.5,1.4,1.54,1.62,R1,R1,40.9,62,86.8,100.4
SKU-1066-RH,Важіль straight_link RH (R1),SKU-1066-LH,RH,straight_link,True,30.1,6.8,7.5,1.4,1.54,1.62,R1,R1,41.4,63,88.2,102.1
SKU-1067-LH,Важіль straight_link LH (R1),SKU-1067-RH,LH,straight_link,False,21.5,5.6,4.5,1.35,0.54,0.15,R1,R1,40.0,60,81.0,9.0
SKU-1067-RH,Важіль straight_link RH (R1),SKU-1067-LH,RH,straight_link,False,21.5,5.6,4.5,1.35,0.54,0.15,R1,R1,41.5,63,85.1,9.4
SKU-1068-LH,Важіль trailing LH (R1),SKU-1068-RH,LH,trailing,False,61.3,6.6,7.7,3.19,3.12,1.19,R1,R1,44.0,66,210.5,78.5
SKU-1068-RH,Важіль trailing RH (R1),SKU-1068-LH,RH,trailing,False,61.3,6.6,7.7,3.19,3.12,1.19,R1,R1,45.1,68,216.9,80.9
SKU-1069-LH,Важіль trailing LH (R1),SKU-1069-RH,LH,trailing,False,66.6,10.4,6.6,2.38,4.57,1.74,R1,R1,31.1,47,111.9,81.8
SKU-1069-RH,Важіль trailing RH (R1),SKU-1069-LH,RH,trailing,False,66.6,10.4,6.6,2.38,4.57,1.74,R1,R1,30.8,47,111.9,81.8
SKU-1070-LH,Важіль straight_link LH (R1),SKU-1070-RH,LH,straight_link,False,21.0,4.5,4.1,0.75,0.39,0.11,R1,R1,40.3,61,45.8,6.7
SKU-1070-RH,Важіль straight_link RH (R1),SKU-1070-LH,RH,straight_link,False,21.0,4.5,4.1,0.75,0.39,0.11,R1,R1,40.4,61,45.8,6.7
SKU-1071-LH,Важіль heavy_integral LH (R1),SKU-1071-RH,LH,heavy_integral,False,61.1,21.1,16.3,7.91,21.01,14.29,R1,R1,42.4,64,506.2,914.6
SKU-1071-RH,Важіль heavy_integral RH (R1),SKU-1071-LH,RH,heavy_integral,False,61.1,21.1,16.3,7.91,21.01,14.29,R1,R1,42.7,65,514.1,928.8
SKU-1072-LH,Важіль a_shaped LH (R1),SKU-1072-RH,LH,a_shaped,False,50.8,33.9,9.1,5.07,15.67,8.15,R1,R1,47.6,72,365.0,586.8
SKU-1072-RH,Важіль a_shaped RH (R1),SKU-1072-LH,RH,a_shaped,False,50.8,33.9,9.1,5.07,15.67,8.15,R1,R1,47.0,71,360.0,578.6
SKU-1073-LH,Важіль trailing LH (R1),SKU-1073-RH,LH,trailing,False,58.2,6.4,5.5,2.37,2.05,0.78,R1,R1,31.8,48,113.8,37.4
SKU-1073-RH,Важіль trailing RH (R1),SKU-1073-LH,RH,trailing,False,58.2,6.4,5.5,2.37,2.05,0.78,R1,R1,33.1,50,118.5,39.0
SKU-1074-LH,Важіль curved LH (R1),SKU-1074-RH,LH,curved,False,31.5,20.8,7.8,2.8,5.11,2.15,R1,R1,32.3,49,137.2,105.3
SKU-1074-RH,Важіль curved RH (R1),SKU-1074-LH,RH,curved,False,31.5,20.8,7.8,2.8,5.11,2.15,R1,R1,31.9,48,134.4,103.2
SKU-1075-LH,Важіль trailing LH (R1),SKU-1075-RH,LH,trailing,False,59.2,6.9,5.4,2.35,2.21,0.84,R1,R1,37.4,57,134.0,47.9
SKU-1075-RH,Важіль trailing RH (R1),SKU-1075-LH,RH,trailing,False,59.2,6.9,5.4,2.35,2.21,0.84,R1,R1,37.9,57,134.0,47.9
SKU-1076-LH,Важіль heavy_integral LH (R1),SKU-1076-RH,LH,heavy_integral,False,72.1,16.4,16.4,8.9,19.39,13.19,R1,R1,32.4,49,436.1,646.3
SKU-1076-RH,Важіль heavy_integral RH (R1),SKU-1076-LH,RH,heavy_integral,False,72.1,16.4,16.4,8.9,19.39,13.19,R1,R1,32.5,49,436.1,646.3
SKU-1077-LH,Важіль curved LH (R1),SKU-1077-RH,LH,curved,True,30.4,19.7,9.5,1.93,5.69,5.97,R1,R1,33.4,51,98.4,304.5
SKU-1077-RH,Важіль curved RH (R1),SKU-1077-LH,RH,curved,True,30.4,19.7,9.5,1.93,5.69,5.97,R1,R1,33.7,51,98.4,304.5
SKU-1078-LH,Важіль trailing LH (R1),SKU-1078-RH,LH,trailing,False,61.6,8.3,8.0,2.18,4.09,1.55,R1,R1,35.1,53,115.5,82.2
